indicator,location,value
Percentage of pregnant women tested for HIV during antenatal care,Nigeria,14.5
Percentage of pregnant women tested for HIV during antenatal care,North-Central,14.2
Percentage of pregnant women tested for HIV during antenatal care,North-East,10.2
Percentage of pregnant women tested for HIV during antenatal care,North-West,10.3
Percentage of pregnant women tested for HIV during antenatal care,South-East,20.5
Percentage of pregnant women tested for HIV during antenatal care,South-South,18.2
Percentage of pregnant women tested for HIV during antenatal care,South-West,16
Percentage of pregnant women tested for HIV during antenatal care,Abia,15.7
Percentage of pregnant women tested for HIV during antenatal care,Adamawa,13.2
Percentage of pregnant women tested for HIV during antenatal care,Akwa Ibom,15.4
Percentage of pregnant women tested for HIV during antenatal care,Anambra,13.3
Percentage of pregnant women tested for HIV during antenatal care,Bauchi,16.4
Percentage of pregnant women tested for HIV during antenatal care,Bayelsa,20.8
Percentage of pregnant women tested for HIV during antenatal care,Benue,16.1
Percentage of pregnant women tested for HIV during antenatal care,Borno,20.2
Percentage of pregnant women tested for HIV during antenatal care,Cross River,11.1
Percentage of pregnant women tested for HIV during antenatal care,Delta,13.8
Percentage of pregnant women tested for HIV during antenatal care,Ebonyi,10.7
Percentage of pregnant women tested for HIV during antenatal care,Edo,11
Percentage of pregnant women tested for HIV during antenatal care,Ekiti,9.2
Percentage of pregnant women tested for HIV during antenatal care,Enugu,20.8
Percentage of pregnant women tested for HIV during antenatal care,FCT,16.9
Percentage of pregnant women tested for HIV during antenatal care,Gombe,15.7
Percentage of pregnant women tested for HIV during antenatal care,Imo,14.3
Percentage of pregnant women tested for HIV during antenatal care,Jigawa,17
Percentage of pregnant women tested for HIV during antenatal care,Kaduna,16.8
Percentage of pregnant women tested for HIV during antenatal care,Kano,9.1
Percentage of pregnant women tested for HIV during antenatal care,Katsina,10.8
Percentage of pregnant women tested for HIV during antenatal care,Kebbi,9
Percentage of pregnant women tested for HIV during antenatal care,Kogi,18
Percentage of pregnant women tested for HIV during antenatal care,Kwara,19.6
Percentage of pregnant women tested for HIV during antenatal care,Lagos,13.5
